id,priority_date,cite_number
CN-108292402-B,23/02/2016,
CN-108492180-B,14/02/2018,
CN-107360248-B,31/07/2017,
CN-112256874-B,21/10/2020,
CN-110430064-B,30/03/2017,
CN-109196816-B,01/07/2016,
CN-109615474-B,11/12/2018,
CN-110602089-B,11/09/2019,
CN-108124502-B,31/03/2017,
CN-109074433-B,13/05/2016,
CN-109691008-B,03/10/2016,
CN-107967557-B,17/11/2017,
CN-110708170-B,13/12/2019,
CN-108768665-B,02/07/2018,
CN-109417483-B,15/07/2016,
CN-109559117-B,14/11/2018,
CN-107147704-B,21/04/2017,
CN-107563761-B,26/08/2017,
CN-107886388-B,22/09/2017,
CN-110866823-B,28/08/2018,
CN-110868440-B,28/08/2018,
CN-110866750-B,28/08/2018,
CN-110868438-B,28/08/2018,
CN-108667614-B,19/04/2018,
CN-108846776-B,19/04/2018,
CN-109584055-B,20/09/2018,
CN-109075964-B,03/05/2016,
CN-109376504-B,26/09/2018,
CN-112910840-B,14/01/2021,
CN-108702287-B,16/04/2018,
CN-108306893-B,05/03/2018,
CN-111030802-B,16/05/2018,
CN-108712257-B,03/04/2018,
CN-111630826-B,05/06/2019,
CN-107395403-B,07/07/2017,
CN-110024357-B,21/09/2016,
CN-108959416-B,08/06/2018,
CN-107196966-B,05/07/2017,
CN-110169036-B,28/09/2016,
CN-110866751-B,28/08/2018,
CN-107528886-B,25/07/2017,
CN-109409122-B,13/09/2018,
CN-108123936-B,13/12/2017,
CN-109559122-B,07/12/2018,
CN-107579848-B,30/08/2017,
CN-108418689-B,30/11/2017,
CN-109359222-B,06/08/2018,
CN-108563788-B,27/04/2018,
CN-110741224-B,12/06/2017,
CN-109767220-B,15/01/2019,
CN-110915165-B,12/05/2017,
CN-108491266-B,09/03/2018,
CN-110291756-B,07/11/2018,
CN-109617698-B,09/01/2019,
CN-110377239-B,27/04/2018,
CN-110268678-B,14/02/2017,
CN-108667618-B,10/05/2018,
CN-112348204-B,05/11/2020,
CN-110164508-B,13/02/2018,
CN-108764870-B,29/05/2018,
CN-108416577-B,02/03/2018,
CN-110915166-B,14/07/2017,
CN-108898390-B,27/06/2018,
CN-108810137-B,11/06/2018,
CN-110609869-B,10/09/2019,
CN-108833081-B,22/06/2018,
CN-108667632-B,19/04/2018,
CN-109145205-B,27/07/2018,
CN-111541785-B,08/07/2020,
CN-109189853-B,08/08/2018,
CN-108898389-B,26/06/2018,
CN-110999255-B,29/03/2019,
CN-109326337-B,06/09/2018,
CN-111543026-B,13/12/2018,
CN-108632293-B,16/05/2018,
CN-110115001-B,07/11/2018,
CN-110249307-B,29/12/2018,
CN-110008746-B,01/04/2019,
CN-110944004-B,12/09/2019,28.0
CN-109491968-B,13/11/2018,40.0
CN-111047319-B,03/09/2019,33.0
CN-111639361-B,15/05/2020,30.0
CN-110457875-B,31/07/2019,35.0
CN-108460596-B,27/02/2018,4.0
CN-110383791-B,29/12/2018,12.0
CN-108830606-B,30/05/2018,12.0
CN-113962678-A,21/07/2020,1.0
CN-111523052-A,26/04/2020,1.0
CN-109584063-B,25/10/2018,12.0
CN-110401715-B,27/04/2018,12.0
CN-109255084-B,28/08/2018,12.0
CN-111045690-B,12/10/2018,12.0
CN-113222574-A,11/05/2021,1.0
CN-108711212-B,21/05/2018,12.0
CN-110915188-B,30/06/2017,12.0
CN-113239382-B,09/02/2021,11.0
CN-114365133-A,22/05/2019,51.0
CN-108366105-B,30/01/2018,12.0
CN-108629027-B,09/05/2018,12.0
CN-111738859-B,08/07/2020,11.0
CN-113396388-A,07/12/2018,116.0
CN-111630830-B,15/04/2020,11.0
