id,priority_date,cite_number,assignee
GB-2567186-A,05/10/2017,,Sherlock Charlie
GB-2478567-A,10/03/2010,,Mark Adrian Habgood
GB-201003948-D0,10/03/2010,,Habgood Mark A
GB-2615081-A,26/01/2022,,Nchain Licensing Ag
GB-2614297-A,23/12/2021,,Rkvst Ltd
GB-2613584-A,07/12/2021,,Nchain Licensing Ag
GB-2612770-A,04/11/2021,,Mastercard International Inc
GB-2610375-A,18/08/2021,,Nchain Licensing Ag
GB-2608842-A,14/07/2021,,Nchain Licensing Ag
GB-2608840-A,13/07/2021,,Nchain Licensing Ag
GB-2608429-A,01/07/2021,,Iannucci Innovation Ltd
GB-2601538-A,04/12/2020,,Nchain Holdings Ltd
GB-2587497-A,28/08/2019,,Univ Soonchunhyang Ind Acad Coop Found
GB-2598277-A,12/06/2020,,Nchain Holdings Ltd
GB-2595489-A,28/05/2020,,Nchain Holdings Ltd
GB-2593721-A,31/03/2020,,Taal Dit Gmbh
GB-2587190-A,12/09/2019,,Nchain Holdings Ltd
GB-2582270-A,06/03/2019,,British Telecomm
GB-2615752-A,15/02/2022,,Nchain Licensing Ag
GB-2611618-A,28/01/2021,,Keychain Fintech Ltd
GB-2590009-A,07/12/2018,,Dragon Infosec Ltd
GB-2611538-A,06/10/2021,,Nchain Licensing Ag
GB-2614221-A,29/07/2021,,Nchain Licensing Ag
GB-2610559-A,07/09/2021,,Licensing Ag Nchain
GB-2566734-A,25/09/2017,,Red Frog Digital Ltd
GB-2612340-A,28/10/2021,,Nchain Licensing Ag
GB-2612348-A,29/10/2021,,Sitigrid Ltd
GB-2614295-A,23/12/2021,,Nchain Licensing Ag
GB-2615094-A,27/01/2022,,Restrata Solutions Ltd
GB-2610902-A,22/02/2022,,Isite Tv Ltd
GB-2609194-A,19/07/2021,,Nchain Licensing Ag
GB-2609193-A,19/07/2021,,Nchain Licensing Ag
GB-2608841-A,14/07/2021,,Nchain Licensing Ag
GB-2608845-A,14/07/2021,,Nchain Licensing Ag
GB-2608844-A,14/07/2021,,Nchain Licensing Ag
GB-2606709-A,12/05/2021,,Nchain Licensing Ag
GB-2601540-A,04/12/2020,,Nchain Holdings Ltd
GB-2600965-A,13/11/2020,,Nchain Holdings Ltd
GB-2600970-A,13/11/2020,,Nchain Holdings Ltd
GB-2599400-A,30/09/2020,,Nchain Holdings Ltd
GB-2598301-A,21/08/2020,,Nchain Holdings Ltd
GB-2593779-A,03/04/2020,,Nchain Licensing Ag
GB-2587201-A,17/09/2019,,Nchain Holdings Ltd
GB-2585081-A,28/06/2019,,Signagelive Ltd
GB-2615528-A,07/02/2022,,Elas Holdings PTY LTD
GB-2610559-A8,07/09/2021,,Nchain Licensing Ag
GB-2614969-A,27/06/2020,,Banh Richard
GB-2576582-A,23/08/2018,,Gigzi S A
GB-2608741-A,27/03/2020,,Hyland Software Inc
GB-2598984-A,21/09/2020,,Jiangsu Aowei Holdings Co Ltd
GB-2599085-A,15/09/2020,,Nchain Holdings Ltd
