id,priority_date,cite_number
KR-20220051163-A,05/07/2019,
KR-20190034272-A,29/07/2016,
KR-20190099053-A,26/12/2016,
KR-102137115-B1,03/12/2018,
KR-20200054124-A,07/11/2018,
KR-20200120863-A,12/04/2019,
KR-20200035280-A,15/08/2017,
KR-101829721-B1,03/11/2016,
KR-20170056332-A,13/11/2015,
KR-102556741-B1,09/09/2016,
KR-102564111-B1,17/06/2022,
KR-20210090665-A,14/12/2018,
KR-20220098264-A,09/11/2018,
KR-20210074394-A,09/11/2018,
KR-102052629-B1,26/11/2018,
KR-102492539-B1,06/03/2017,
KR-20210008111-A,23/03/2018,
KR-20180079806-A,02/01/2017,
KR-20200106000-A,28/02/2019,
KR-102444425-B1,23/10/2018,
KR-20210064747-A,26/11/2019,
KR-20200080441-A,26/12/2018,
KR-20200114447-A,28/03/2019,
KR-20200107770-A,04/03/2019,
KR-20200103394-A,25/02/2019,
KR-20200087913-A,11/01/2019,
KR-20190092967-A,31/01/2018,
KR-20210131856-A,24/04/2020,
KR-20220038781-A,06/08/2019,
KR-20220024436-A,19/06/2019,
KR-20220018024-A,19/06/2019,
KR-20200083761-A,28/12/2018,
KR-20200081533-A,27/12/2018,
KR-20200078940-A,24/12/2018,
KR-20200074474-A,17/12/2018,
KR-20210151926-A,19/04/2019,
KR-20210128016-A,25/03/2019,
KR-20200072318-A,12/12/2018,
KR-20200063595-A,28/11/2018,
KR-20200053070-A,07/11/2018,
KR-20200044363-A,19/10/2018,
KR-20210060201-A,18/11/2019,
KR-20200101328-A,04/10/2017,
KR-20200037490-A,01/10/2018,
KR-20200031861-A,17/09/2018,
KR-20200131035-A,13/05/2019,
KR-20200021123-A,20/08/2018,
KR-20200020291-A,17/08/2018,
KR-20200020382-A,17/08/2018,
KR-20200015266-A,03/08/2018,
KR-20190128826-A,09/05/2018,
KR-20200004493-A,04/07/2018,
KR-20200002501-A,29/06/2018,
KR-20200000161-A,22/06/2018,
KR-20190136364-A,30/05/2018,
KR-20190132009-A,18/05/2018,
KR-20190128868-A,09/05/2018,
KR-20190108263-A,14/03/2018,
KR-20200070986-A,17/09/2019,
KR-20200142132-A,11/06/2019,
KR-20200120912-A,19/02/2018,
KR-20190115792-A,03/04/2018,
KR-20190119920-A,13/04/2018,
KR-20200132518-A,17/05/2019,
KR-20220160100-A,13/05/2020,
KR-20220148854-A,01/04/2020,
KR-20210125893-A,08/04/2020,
KR-20220073899-A,26/11/2020,
KR-20220044603-A,22/08/2019,
KR-20210124872-A,07/04/2020,
KR-20210120611-A,27/03/2020,
KR-20210134798-A,25/03/2019,
KR-20210104330-A,17/02/2020,
KR-20210058608-A,13/11/2019,
KR-20190109914-A,19/03/2018,
KR-20190141396-A,14/06/2018,
KR-20210080550-A,21/02/2019,
KR-20200074909-A,13/12/2018,
KR-20200012634-A,27/07/2018,
KR-20200066261-A,27/11/2018,
KR-20200012511-A,27/07/2018,
KR-20200092194-A,24/01/2019,
KR-20200031264-A,14/09/2018,
KR-20200046260-A,24/10/2018,
KR-20200020003-A,16/08/2017,
KR-20200056579-A,15/11/2018,
KR-20190121777-A,22/05/2017,
KR-20190139901-A,18/04/2017,
KR-102032780-B1,15/05/2018,
KR-20200083163-A,29/08/2019,
KR-20160050876-A,31/10/2014,
KR-20190114423-A,30/03/2018,
KR-102439059-B1,30/05/2018,
KR-102153673-B1,18/12/2019,
KR-102396737-B1,06/11/2019,
KR-101949711-B1,29/06/2018,
KR-102096659-B1,14/11/2018,
KR-102132122-B1,25/01/2019,
KR-20230020461-A,25/11/2020,
KR-20210128998-A,27/02/2020,
KR-20210122211-A,24/12/2020,
KR-20220024553-A,14/06/2019,
KR-102096647-B1,14/11/2018,
KR-20210137073-A,01/03/2019,
KR-102135856-B1,29/06/2018,
KR-20210135495-A,18/01/2019,
KR-102042935-B1,14/12/2018,
KR-101984758-B1,12/12/2018,
KR-20210041404-A,07/10/2019,
KR-102109254-B1,04/07/2018,
KR-20190031989-A,19/09/2017,
KR-102096660-B1,14/09/2018,
KR-20190137064-A,29/05/2018,
KR-102086080-B1,27/07/2018,
KR-102031241-B1,10/07/2018,
KR-20200122336-A,15/02/2018,
KR-102096890-B1,17/08/2018,
KR-102063336-B1,25/05/2018,
KR-20200106767-A,05/03/2019,
KR-102148130-B1,20/08/2018,
KR-102201468-B1,17/09/2018,
KR-20190111707-A,23/03/2018,
KR-102033244-B1,03/04/2018,
KR-20200002483-U,02/05/2019,
KR-101914575-B1,23/03/2018,
KR-102186117-B1,01/10/2018,
KR-102423020-B1,19/02/2018,
KR-101937188-B1,06/02/2018,
KR-101985179-B1,26/12/2017,
KR-102131292-B1,19/10/2018,
KR-20210059164-A,15/11/2019,
KR-101986482-B1,12/12/2017,
KR-20200067115-A,30/11/2018,
KR-20170006805-A,09/07/2015,
KR-102100457-B1,24/10/2018,
KR-20200115019-A,26/03/2019,
KR-102058539-B1,05/12/2018,
KR-101745765-B1,30/06/2011,
KR-20200054226-A,13/09/2017,
KR-20190137069-A,29/05/2018,
KR-102207234-B1,12/12/2018,
KR-20210134054-A,25/03/2019,
KR-20200119707-A,08/04/2019,
