filingDate,patentNumber
02/03/2015,20160260095
04/03/2015,20160260091
28/05/2015,20160261708
06/03/2015,20160261599
14/02/2014,9436963
17/03/2015,9436935
18/08/2015,9437078
12/05/2016,20160253677
07/05/2016,20160254910
26/02/2016,20160253663
19/02/2016,20160247131
21/02/2016,20160243264
23/02/2015,20160247181
19/02/2015,20160248765
02/12/2014,9424862
07/11/2011,9424371
18/02/2015,20160239908
18/02/2015,20160239907
29/04/2016,20160239772
10/02/2015,20160232603
05/02/2016,20160234026
11/02/2015,20160231914
20/02/2013,9413906
07/08/2013,9411982
01/10/2015,20160224949
13/01/2014,9405766
10/01/2014,9407618
31/03/2014,9403794
09/03/2014,20160219310
30/06/2015,20160217428
22/01/2016,20160217461
01/04/2016,20160219142
24/01/2016,20160217436
01/04/2016,20160219150
05/01/2016,20160218879
30/03/2016,20160212146
19/01/2016,20160210445
13/01/2016,20160210710
21/01/2015,20160210716
20/01/2015,20160212109
17/02/2009,9396279
21/08/2014,20160203572
13/01/2016,20160203319
06/07/2015,20160203448
14/01/2016,20160203477
11/01/2016,20160203496
08/01/2016,20160203645
02/07/2008,9390440
23/07/2010,9392056
07/01/2016,20160196517
06/01/2015,20160196553
06/01/2015,20160197993
23/12/2005,9384483
04/06/2009,9386089
17/01/2014,9384482
28/12/2015,20160189160
29/12/2015,20160191243
16/12/2015,20160180338
26/07/2013,9374353
16/12/2015,20160171028
06/07/2015,20160171570
08/04/2014,9369481
08/12/2014,20160162882
08/12/2014,20160164672
02/06/2015,9358466
18/05/2015,9356916
20/11/2015,20160148427
28/12/2015,20160148190
24/11/2015,20160147864
24/11/2014,20160149707
25/11/2014,20160150275
19/11/2015,20160140162
13/11/2015,20160142372
14/11/2014,20160140653
13/11/2015,20160142873
25/01/2016,20160142995
08/04/2008,9342804
09/04/2009,9342697
28/04/2015,20160133095
06/11/2014,20160132693
10/11/2014,20160135318
06/06/2014,20160124986
29/06/2015,20160125511
25/09/2015,20160125040
28/10/2015,20160125398
02/11/2015,20160125403
03/11/2015,20160125513
28/10/2015,20160127417
29/10/2014,20160127466
11/12/2012,9330721
10/06/2015,20160117671
18/02/2015,20160119582
16/08/2013,9324123
02/11/2015,20160110373
12/06/2015,20160112200
28/08/2015,20160109870
21/10/2014,20160112284
07/10/2008,9317343
12/04/2013,9311326
07/10/2014,20160098712
30/08/2013,9306967
15/02/2007,9305011
26/09/2014,20160092935
25/09/2014,20160094569
30/09/2014,20160092556
29/09/2015,20160092871
26/09/2014,20160092942
24/09/2015,20160092988
24/11/2015,20160094708
08/07/2015,9298806
10/06/2014,20160085955
22/09/2014,20160086175
01/12/2015,20160086418
27/06/2011,9292615
05/12/2013,9294365
02/07/2014,20160078198
11/09/2015,20160080156
28/02/2012,9286643
14/03/2013,9286308
11/05/2015,9286941
08/09/2015,20160071096
04/09/2015,20160071108
04/09/2015,20160072771
28/08/2015,20160063769
24/01/2014,20160063595
29/08/2014,20160063816
11/03/2015,9275084
02/11/2015,20160055520
03/08/2015,20160055380
06/09/2008,9268849
17/08/2015,9270965
18/03/2014,9270663
30/10/2015,20160048481
02/05/2013,9265043
15/01/2010,9256899
08/08/2013,9258342
31/03/2014,9255933
04/08/2015,20160034979
14/10/2015,20160034896
12/11/2014,20160034859
29/07/2015,20160036957
31/07/2014,9251326
02/06/2008,9251172
07/10/2015,20160026702
23/07/2015,20160029342
24/07/2015,20160028552
23/07/2014,20160026717
23/07/2014,20160026736
28/05/2015,20160026931
23/07/2015,20160026960
06/08/2015,20160027229
04/12/2014,9247277
17/07/2014,20160019517
17/07/2014,20160019524
12/12/2011,9240073
18/09/2015,20160012032
09/07/2014,20160012082
09/07/2014,20160012084
08/02/2015,20160012465
15/01/2010,9235399
02/04/2015,9235700
10/09/2015,20160004531
05/01/2015,9229945
28/01/2010,9229939
24/06/2016,20170374392
15/08/2016,20170372300
31/01/2017,20170372043
28/06/2016,20170372417
12/03/2014,9852273
30/08/2017,20170364885
30/06/2017,20170363330
07/12/2015,20170364999
14/01/2017,20170364929
08/06/2017,20170364936
16/06/2017,20170364552
15/06/2017,20170364655
13/06/2017,20170364675
11/08/2017,20170364701
20/06/2016,20170366347
16/06/2017,20170366348
11/08/2017,20170366353
29/08/2017,20170361727
16/06/2017,20170366516
09/06/2016,20170357966
10/06/2016,20170357493
27/12/2016,20170359236
11/06/2016,20170357970
07/08/2017,20170358041
10/06/2016,20170358110
11/06/2016,20170359374
10/06/2016,20170358051
12/07/2016,20170359288
19/10/2015,20170351879
22/12/2014,20170351699
01/06/2017,20170352083
06/06/2016,20170352116
01/06/2016,20170353301
14/02/2017,20170353311
24/08/2017,20170353320
05/06/2017,20170350985
06/06/2017,20170352027
14/08/2017,20170352219
29/11/2016,20170352012
18/10/2016,20170353309
26/08/2014,9836469
16/06/2014,9836790
06/08/2015,9836908
01/04/2016,9838541
22/08/2016,9838388
27/05/2016,20170346693
27/05/2016,20170344580
06/03/2017,20170346833
24/05/2016,20170344435
24/05/2016,20170344987
16/08/2017,20170345105
26/05/2016,20170344728
30/05/2016,20170344983
24/05/2016,20170344988
25/05/2017,20170345019
30/01/2017,20170346637
