id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link
GB-2566458-A,Methods and systems for providing services using autonomous economic agents ,Uvue Ltd,"Munir Sheikh Humayun, William Simpson Toby",13/09/2017,13/09/2017,20/03/2019,,https://patents.google.com/patent/GB2566458A/en,
GB-2493840-A,"Cloud downloads whose quality level depends upon network performance, used for playback and/or upgrading client cached assets ",Apple Inc,"Jeffrey L Robbin, Lucas C Newman, Scott J Forstall, Stephen O Lemay, Steve Saro Gedikian, Max Muller, Thomas Alsina",18/08/2011,15/08/2012,20/02/2013,,https://patents.google.com/patent/GB2493840A/en,
GB-201214544-D0,Management of downloads from a network-based digital data repository based on network performance ,Apple Inc,,18/08/2011,15/08/2012,26/09/2012,,https://patents.google.com/patent/GB201214544D0/en,
GB-2609906-A,Generating digital signature shares ,Nchain Licensing Ag,Pettit Michaella,09/08/2021,09/08/2021,22/02/2023,,https://patents.google.com/patent/GB2609906A/en,
GB-2612270-A,Electronic wallet allowing virtual currency expiration date ,Ibm,"Sasaki Yu, Sakurada Goya, Takeuchi Hiroshige, Takai Masato, Kurihara Mikio",28/07/2020,20/07/2021,26/04/2023,,https://patents.google.com/patent/GB2612270A/en,
GB-2601045-A,Automated computerized identification of assets ,Ibm,"Kevin Daley Stan, Bender Michael, G Greenlee Gordan, Liu Tao",29/09/2020,23/09/2021,18/05/2022,,https://patents.google.com/patent/GB2601045A/en,
GB-2601894-A,A secure platform for digital imaging sharing ,Cloudstore Ltd,"Eshraghi Farshad, Shahbazi Ramin",14/10/2020,14/10/2021,15/06/2022,,https://patents.google.com/patent/GB2601894A/en,
GB-2607618-A,Computer-implemented method and system ,Nchain Licensing Ag,"Patrick Coughlan Steven, Vaughan Owen",09/06/2021,09/06/2021,14/12/2022,,https://patents.google.com/patent/GB2607618A/en,
GB-2545509-A,Financial apparatus and method ,Heliopay Ltd,"Forbes Donald, Morris Michael",19/12/2015,19/12/2015,21/06/2017,,https://patents.google.com/patent/GB2545509A/en,
GB-2569736-A,Smart bin ,Martin Joseph,Martin Joseph,19/04/2019,19/04/2019,26/06/2019,,https://patents.google.com/patent/GB2569736A/en,
GB-2589349-A,Povably fair games using a blockchain ,Nchain Holdings Ltd,"Owen Davies Jack, Tartan Chloe, Steven Wright Craig",27/11/2019,27/11/2019,02/06/2021,,https://patents.google.com/patent/GB2589349A/en,
GB-2612336-A,Computer-implemented system and method ,Nchain Licensing Ag,Steven Wright Craig,28/10/2021,28/10/2021,03/05/2023,,https://patents.google.com/patent/GB2612336A/en,
GB-2601125-A,Node versioning ,Nchain Holdings Ltd,"Tartan Chloe, Zhang Wei, Steven Wright Craig",18/11/2020,18/11/2020,25/05/2022,,https://patents.google.com/patent/GB2601125A/en,
GB-2608179-A,Multi-level blockchain ,Nchain Licensing Ag,"Steven Wright Craig, Tartan Chloe, Molloy Katharine",25/06/2021,25/06/2021,28/12/2022,,https://patents.google.com/patent/GB2608179A/en,
GB-2608182-A,Tiered consensus ,Nchain Licensing Ag,"Steven Wright Craig, Tartan Chloe, Molloy Katharine",25/06/2021,25/06/2021,28/12/2022,,https://patents.google.com/patent/GB2608182A/en,
GB-2607589-A,Blockchain based device certification ,Taal Dit Gmbh,Rakic Dean,04/06/2021,04/06/2021,14/12/2022,,https://patents.google.com/patent/GB2607589A/en,
GB-2609186-A,Blockchain ,Wrt Tech Limited,"Moreau Luc, Trungh Dong, Disney Tim, Robinson Nick, Hill Stephen",24/05/2021,24/05/2021,01/02/2023,,https://patents.google.com/patent/GB2609186A/en,
GB-2611072-A,Method of protecting digital content ,Ip Ledger Ltd,"Mykhailov Andril, Riazanova Nataliia",25/09/2021,25/09/2021,29/03/2023,,https://patents.google.com/patent/GB2611072A/en,
GB-2612338-A,Computer-implemented system and method ,Nchain Licensing Ag,Steven Wright Craig,28/10/2021,28/10/2021,03/05/2023,,https://patents.google.com/patent/GB2612338A/en,
GB-2597123-A,A method for creating a hierarchical threshold signature digital asset wallet ,Hung Hung Chiu,Hung Hung Chiu,14/05/2020,13/05/2021,19/01/2022,,https://patents.google.com/patent/GB2597123A/en,
GB-2606527-A,Multi-party blockchain address scheme ,Nchain Licensing Ag,"Paunoiu Alexandru, Steven Wright Craig",10/05/2021,10/05/2021,16/11/2022,,https://patents.google.com/patent/GB2606527A/en,
GB-2606528-A,Multi-party blockchain address scheme ,Nchain Licensing Ag,"Paunoiu Alexandru, Steven Wright Craig",10/05/2021,10/05/2021,16/11/2022,,https://patents.google.com/patent/GB2606528A/en,
GB-2612339-A,Computer-implemented system and method ,Nchain Licensing Ag,Steven Wright Craig,28/10/2021,28/10/2021,03/05/2023,,https://patents.google.com/patent/GB2612339A/en,
GB-2563390-A,Expendable cryptographic key access ,British Telecomm,Daniel Joshua,12/06/2017,12/06/2017,19/12/2018,,https://patents.google.com/patent/GB2563390A/en,
GB-2612337-A,Computer-implemented system and method ,Nchain Licensing Ag,Steven Wright Craig,28/10/2021,28/10/2021,03/05/2023,,https://patents.google.com/patent/GB2612337A/en,
GB-2614083-A,System for assuring cyber security across supply chains ,Bilbo Lyford Ltd,Benedict Dean Julian,21/12/2021,21/12/2021,28/06/2023,,https://patents.google.com/patent/GB2614083A/en,
GB-2614077-A,Signature-based atomic swap ,Nchain Licensing Ag,"Molloy Katharine, Steven Wright Craig, Zhang Wei",21/12/2021,21/12/2021,28/06/2023,,https://patents.google.com/patent/GB2614077A/en,
GB-2605792-A,Blockchain based system and method ,Nchain Licensing Ag,"Steven Wright Craig, Owen Davies Jack",13/04/2021,13/04/2021,19/10/2022,,https://patents.google.com/patent/GB2605792A/en,
GB-2605649-A,Blockchain key generation ,Vodafone Group Services Ltd,"Poschke Nils, Palmer David, Prabdial Yakeem, Bento Jorge",09/04/2021,09/04/2021,12/10/2022,,https://patents.google.com/patent/GB2605649A/en,
GB-2605776-A,Blockchain-implemented hash function ,Nchain Licensing Ag,"Steven Wright Craig, Zhang Wei",07/04/2021,07/04/2021,19/10/2022,,https://patents.google.com/patent/GB2605776A/en,
GB-2604144-A,System and method for facilitating processing event for vehicle ,Continental Automotive Gmbh,"Siong Lim Chee, Chew Beng Aik Adam",26/02/2021,26/02/2021,31/08/2022,,https://patents.google.com/patent/GB2604144A/en,
GB-2604104-A,Digital security systems and methods ,Nchain Holdings Ltd,"Owen Davies Jack, Steven Wright Craig",18/02/2021,18/02/2021,31/08/2022,,https://patents.google.com/patent/GB2604104A/en,
GB-2602347-A,Blockchain related verification method and system ,Nchain Holdings Ltd,"Steven Wright Craig, Pan Liuxuan, Vaughan Owen",24/12/2020,24/12/2020,29/06/2022,,https://patents.google.com/patent/GB2602347A/en,
GB-2602010-A,Generating and validating blockchain transactions ,Nchain Holdings Ltd,"Zhang Wei, Ammar Bassem, Patrick Coughlan Steven",15/12/2020,15/12/2020,22/06/2022,,https://patents.google.com/patent/GB2602010A/en,
